idx,D_RT,D_TT,D_InfT,O_RT,O_TT,O_InfT,R_RT,R_TT,R_InfT,C_RT,C_InfT,P_RT,P_TT,P_InfT,Ch_RT,Ch_TT,Ch_InfT
0,2.43E-01,8.50E-02,3.09E-01,1.00E+00,2.79E-01,9.81E-01,2.56E-01,5.43E-01,1.58E-01,9.72E-01,2.81E-01,1.52E-02,9.62E-01,2.73E-01,2.70E-03,1.22E-02,1.00E+00
1,8.14E-01,4.90E-02,6.77E-01,1.00E+00,8.34E-01,1.00E+00,2.08E-01,1.00E-03,6.25E-01,4.17E-01,1.00E+00,1.37E-01,7.11E-01,1.00E+00,3.71E-01,2.14E-01,1.54E-01
2,6.61E-01,1.00E+00,1.98E-03,1.00E+00,1.00E+00,8.62E-01,9.86E-01,6.28E-02,4.15E-01,1.00E+00,1.00E+00,1.00E+00,2.51E-01,1.00E+00,8.84E-01,4.57E-01,1.00E+00
3,2.20E-01,6.28E-02,1.43E-01,1.00E+00,3.07E-01,1.37E-01,1.00E+00,5.22E-01,1.13E-01,9.74E-01,3.50E-01,7.74E-02,1.00E+00,3.77E-01,1.00E-03,1.00E+00,1.00E+00
4,1.00E-03,2.13E-01,9.53E-01,5.76E-01,2.52E-01,1.00E+00,1.00E-03,9.03E-01,5.22E-01,3.48E-01,1.00E+00,9.27E-01,3.33E-01,7.41E-01,7.17E-01,9.62E-01,1.00E+00
5,1.59E-01,7.38E-01,3.66E-01,1.00E+00,4.33E-01,5.81E-01,1.63E-01,8.10E-01,1.26E-03,1.00E+00,5.69E-01,7.36E-01,1.32E-01,1.93E-01,9.91E-01,3.86E-01,1.00E+00
6,7.46E-01,6.44E-02,1.00E+00,1.00E+00,1.00E-03,6.60E-02,5.29E-01,1.00E-03,3.80E-01,1.00E+00,1.00E+00,5.37E-01,8.43E-01,1.00E+00,1.00E-03,6.09E-01,6.66E-01
7,8.14E-01,2.49E-01,6.77E-01,1.00E+00,8.34E-01,9.91E-01,2.08E-01,1.07E-02,6.25E-01,4.17E-01,1.00E+00,1.37E-01,7.11E-01,1.00E+00,3.71E-01,1.93E-01,1.48E-01
8,9.23E-01,1.88E-01,2.68E-01,1.00E+00,5.39E-01,1.47E-01,3.21E-01,7.37E-01,6.58E-01,9.97E-01,1.00E+00,5.11E-01,3.54E-01,1.00E+00,4.16E-01,9.92E-01,6.07E-01
9,9.94E-01,7.89E-02,9.81E-01,1.00E+00,5.11E-01,3.74E-01,1.00E+00,4.71E-01,1.83E-01,1.00E+00,5.72E-03,6.45E-01,1.79E-01,1.73E-01,2.87E-02,7.69E-01,4.05E-01
