,O,D,C,R,Ch,P,Rg
0,0.9965,0.349,0.998,0.3185,0.092,0.8155,0.056
1,0.935,0.232,0.886,0.22,0.372,0.065,0.0625
2,0.9125,0.615,0.8585,0.232,0.0,0.357,0.0
3,0.9895,0.371,0.9995,0.2225,0.108,0.9375,0.0975
4,1.0,0.0135,0.436,0.088,0.108,0.859,0.0
5,0.9825,0.5415,0.998,0.7305,0.609,0.997,0.1605
6,0.9975,0.2245,0.8895,0.225,0.05,0.371,0.0475
7,0.928,0.1455,0.886,0.2195,0.3575,0.065,0.064
8,1.0,0.1775,0.8095,0.244,0.205,0.268,0.0535
9,0.999,0.396,0.9975,0.239,0.895,0.968,0.2035
10,0.9075,0.532,0.9975,0.2575,0.6825,0.973,0.052
11,0.7145,0.2885,0.8865,0.2645,1.0,0.1565,0.1525
12,0.974,0.0,0.436,0.0765,0.1505,0.0615,0.0
13,0.8335,0.257,0.436,0.1055,0.1055,0.0665,0.0625
14,0.7615,0.109,0.8735,0.2245,0.058,0.525,0.0415
15,0.9965,0.3515,0.9945,0.4675,0.5065,0.9625,0.0845
16,0.999,0.66,0.998,0.7145,0.083,0.248,0.05
17,0.925,0.3185,0.992,0.4095,0.7595,0.9585,0.112
18,1.0,0.1575,0.436,0.103,0.106,0.073,0.0195
19,0.937,0.547,0.8895,0.235,0.0195,0.3515,0.0
20,0.957,0.706,0.8115,0.3315,0.0,0.0535,0.0
21,0.9965,0.5385,0.998,0.2575,0.882,0.9845,0.2245
22,0.9985,0.254,0.999,0.23,0.226,0.3875,0.1645
23,0.936,0.527,0.8895,0.2325,0.716,0.4025,0.021
24,0.993,0.3005,0.999,0.351,0.7515,0.9505,0.089
25,0.8685,0.581,0.436,0.218,0.0,0.578,0.0
26,0.996,0.535,0.998,0.3435,0.372,0.981,0.039
27,1.0,0.11,0.8085,0.2495,0.391,0.9715,0.1075
28,0.989,0.404,0.759,0.389,0.5535,0.8675,0.204
29,0.9815,0.7405,1.0,0.3325,0.7275,0.986,0.138
30,0.8705,0.809,0.772,0.252,0.7865,0.899,0.116
31,0.958,0.4985,0.7535,0.397,0.8545,0.926,0.186
32,0.0085,0.097,0.885,0.2225,0.106,0.5145,0.0085
33,0.9915,0.742,0.709,0.331,0.9925,0.96,0.2865
34,0.94,0.84,0.998,0.305,0.6305,0.9815,0.076
35,0.9665,0.213,1.0,0.227,0.179,0.6975,0.109
36,0.9745,0.6015,0.751,0.347,0.0055,0.122,0.0
37,0.9985,0.135,0.998,0.3845,0.14,0.765,0.0335
38,0.981,0.677,0.9995,0.254,0.1365,0.7725,0.016
39,0.819,0.706,0.998,0.404,0.067,0.749,0.028
40,0.9995,0.39,0.998,0.672,0.5805,0.9975,0.1515
41,0.9955,0.2865,0.748,0.2915,0.8515,0.9395,0.195
42,0.9985,0.2135,0.5845,0.3835,0.586,0.937,0.091
